Date,BIL,CL=F,DX-Y.NYB,GLD,IWM,QQQ,SGOV,SPY,TLT,VEA,VTI,VWO,XLE,XLF,XLK,XLV,^TNX,^VIX
2024-06-12,84.14875793457031,78.5,104.6500015258789,214.72000122070312,199.81961059570312,468.9992980957031,92.30638885498047,528.4978637695312,84.89807891845703,47.58159255981445,260.15875244140625,41.17842483520508,41.98736572265625,39.57312774658203,111.10698699951172,141.2115936279297,4.295000076293945,12.039999961853027
2024-06-13,84.15796661376953,78.62000274658203,105.19999694824219,212.97000122070312,198.0736846923828,471.54132080078125,92.3155746459961,529.5620727539062,86.14604187011719,46.91474533081055,260.2757873535156,41.13130187988281,41.602760314941406,39.544029235839844,111.98580169677734,141.0955810546875,4.23799991607666,11.9399995803833
2024-06-14,84.20391845703125,78.44999694824219,105.55000305175781,215.72999572753906,194.92514038085938,473.9844970703125,92.36151885986328,529.88427734375,86.8709487915039,46.49208450317383,260.0807189941406,41.24440383911133,41.29320526123047,39.417972564697266,112.40547180175781,141.04725646972656,4.2129998207092285,12.65999984741211
2024-06-17,84.21310424804688,80.33000183105469,105.31999969482422,214.61000061035156,196.5631866455078,479.79071044921875,92.37069702148438,534.1015625,86.00839233398438,46.6611442565918,262.0603942871094,41.47060775756836,41.40108108520508,39.767059326171875,114.10880279541016,140.9021759033203,4.2789998054504395,12.75
2024-06-18,84.23147583007812,81.56999969482422,105.26000213623047,215.47000122070312,196.90647888183594,479.9390869140625,92.39827728271484,535.45849609375,86.79754638671875,46.84899139404297,262.7235412597656,41.80048751831055,41.574623107910156,40.0191764831543,114.25199890136719,141.08590698242188,4.2170000076293945,12.300000190734863
2024-06-20,84.2498550415039,82.16999816894531,105.58999633789062,218.16000366210938,196.07275390625,476.2397155761719,92.40745544433594,534.0039672851562,86.21944427490234,46.84899139404297,262.0603942871094,41.72509002685547,42.339141845703125,40.23251724243164,112.96830749511719,141.55001831054688,4.254000186920166,13.279999732971191
2024-06-21,84.27742004394531,80.7300033569336,105.80000305175781,214.77999877929688,196.51414489746094,474.9637451171875,92.44420623779297,533.2880859375,86.21944427490234,46.5370979309082,261.66058349609375,41.583168029785156,42.09524917602539,40.077362060546875,112.77084350585938,141.94642639160156,4.256999969482422,13.199999809265137
2024-06-24,84.29582977294922,81.62999725341797,105.47000122070312,215.6300048828125,197.3674774169922,469.55645751953125,92.45339965820312,531.554443359375,86.56814575195312,46.94473648071289,261.2216796875,41.554779052734375,43.15666580200195,40.489166259765625,110.00608825683594,142.77438354492188,4.248000144958496,13.329999923706055
2024-06-25,84.29582977294922,80.83000183105469,105.61000061035156,214.55999755859375,196.72010803222656,474.92608642578125,92.47176361083984,533.6015014648438,86.71495819091797,47.01110076904297,262.0798645019531,41.43178939819336,43.25595474243164,40.18737030029297,112.02400207519531,142.32791137695312,4.23799991607666,12.84000015258789
2024-06-26,84.30499267578125,80.9000015258789,106.05000305175781,212.5800018310547,196.20025634765625,475.9069519042969,92.48095703125,534.2674560546875,85.47618103027344,46.69826126098633,262.0701599121094,41.3182487487793,42.83043670654297,39.93425369262695,111.89541625976562,141.82315063476562,4.315999984741211,12.550000190734863
